"項目","単位","1980_55","1981_56","1982_57","1983_58","1984_59","1985_60","1986_61","1987_62","1988_63","1989_1","1990_2","1991_3","1992_4","1993_5","1994_6","1995_7","1996_8","1997_9","1998_10","1999_11","2000_12","2001_13","2002_14","2003_15","2004_16","2005_17","2006_18","有効数字(少数桁)"
"事業所数（総数）_日高町","事業所","","382.0","","","","","383.0","","","","","342.0","","","…","","373.0","","","…","","350.0","","","…","","367.0",""
"事業所数（総数）_由良町","事業所","","554.0","","","","","547.0","","","","","543.0","","","…","","493.0","","","…","","488.0","","","…","","450.0",""
"事業所数（総数）_印南町","事業所","","491.0","","","","","553.0","","","","","558.0","","","…","","559.0","","","…","","509.0","","","…","","473.0",""
"事業所数（総数）_みなべ町","事業所","","880.0","","","","","875.0","","","","","858.0","","","…","","888.0","","","…","","887.0","","","…","","874.0",""
"事業所数（総数）_旧南部川村","事業所","","276.0","","","","","275.0","","","","","265.0","","","…","","268.0","","","…","","298.0","","","…","","302.0",""
"事業所数（総数）_旧南部町","事業所","","604.0","","","","","600.0","","","","","593.0","","","…","","620.0","","","…","","589.0","","","…","","572.0",""
"事業所数（総数）_日高川町","事業所","","616.0","","","","","653.0","","","","","641.0","","","…","","692.0","","","…","","647.0","","","…","","620.0",""
"事業所数（総数）_旧川辺町","事業所","","248.0","","","","","283.0","","","","","285.0","","","…","","357.0","","","…","","344.0","","","…","","358.0",""
"事業所数（総数）_旧中津村","事業所","","185.0","","","","","196.0","","","","","196.0","","","…","","182.0","","","…","","160.0","","","…","","136.0",""
"事業所数（総数）_旧美山村","事業所","","183.0","","","","","174.0","","","","","160.0","","","…","","153.0","","","…","","143.0","","","…","","126.0",""
"事業所数（総数）_白浜町","事業所","","1994.0","","","","","1977.0","","","","","1983.0","","","…","","1874.0","","","…","","1705.0","","","…","","1464.0",""
"事業所数（総数）_旧白浜町","事業所","","1587.0","","","","","1563.0","","","","","1562.0","","","…","","1513.0","","","…","","1309.0","","","…","","1096.0",""
"事業所数（総数）_旧日置川町","事業所","","407.0","","","","","414.0","","","","","421.0","","","…","","361.0","","","…","","396.0","","","…","","368.0",""
"事業所数（総数）_上富田町","事業所","","578.0","","","","","640.0","","","","","650.0","","","…","","668.0","","","…","","684.0","","","…","","654.0",""
"事業所数（総数）_すさみ町","事業所","","524.0","","","","","510.0","","","","","477.0","","","…","","441.0","","","…","","409.0","","","…","","416.0",""
"事業所数（総数）_那智勝浦町","事業所","","1586.0","","","","","1630.0","","","","","1558.0","","","…","","1462.0","","","…","","1336.0","","","…","","1256.0",""
"事業所数（総数）_太地町","事業所","","293.0","","","","","314.0","","","","","294.0","","","…","","259.0","","","…","","244.0","","","…","","227.0",""
"事業所数（総数）_古座川町","事業所","","321.0","","","","","311.0","","","","","286.0","","","…","","290.0","","","…","","284.0","","","…","","233.0",""
"事業所数（総数）_北山村","事業所","","59.0","","","","","57.0","","","","","56.0","","","…","","55.0","","","…","","55.0","","","…","","53.0",""
"事業所数（総数）_串本町","事業所","","1978.0","","","","","1905.0","","","","","1855.0","","","…","","1744.0","","","…","","1659.0","","","…","","1579.0",""
"事業所数（総数）_旧串本町","事業所","","1427.0","","","","","1371.0","","","","","1326.0","","","…","","1257.0","","","…","","1218.0","","","…","","1193.0",""
"事業所数（総数）_旧古座町","事業所","","551.0","","","","","534.0","","","","","529.0","","","…","","487.0","","","…","","441.0","","","…","","386.0",""
"事業所数（民営）","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"事業所数（民営）_和歌山県","事業所","","64190.0","","","","","64543.0","","","","","62575.0","","","61899.0","","60725.0","","","56644.0","","56411.0","","","52861.0","","52508.0",""
"事業所数（民営）_和歌山市","事業所","","22617.0","","","","","22560.0","","","","","20984.0","","","20911.0","","20412.0","","","18373.0","","18339.0","","","16641.0","","16403.0",""
"事業所数（民営）_海南市","事業所","","4358.0","","","","","4071.0","","","","","4110.0","","","3966.0","","3896.0","","","3650.0","","3539.0","","","3266.0","","3235.0",""
"事業所数（民営）_旧海南市","事業所","","3446.0","","","","","3229.0","","","","","3303.0","","","3153.0","","3066.0","","","2838.0","","2729.0","","","2493.0","","…",""
"事業所数（民営）_旧下津町","事業所","","912.0","","","","","842.0","","","","","807.0","","","813.0","","830.0","","","812.0","","810.0","","","773.0","","…",""
"事業所数（民営）_橋本市","事業所","","3500.0","","","","","3393.0","","","","","3352.0","","","3266.0","","3156.0","","","3020.0","","2970.0","","","2745.0","","2702.0",""
"事業所数（民営）_旧橋本市","事業所","","2123.0","","","","","2110.0","","","","","2161.0","","","2098.0","","2013.0","","","1923.0","","1961.0","","","1875.0","","…",""
"事業所数（民営）_旧高野口町","事業所","","1377.0","","","","","1283.0","","","","","1191.0","","","1168.0","","1143.0","","","1097.0","","1009.0","","","870.0","","…",""
"事業所数（民営）_有田市","事業所","","2198.0","","","","","2336.0","","","","","2263.0","","","2269.0","","2254.0","","","2135.0","","2139.0","","","2083.0","","2062.0",""
"事業所数（民営）_御坊市","事業所","","2336.0","","","","","2466.0","","","","","2406.0","","","2443.0","","2413.0","","","2267.0","","2347.0","","","2193.0","","2138.0",""
"事業所数（民営）_田辺市","事業所","","5758.0","","","","","5918.0","","","","","6015.0","","","6001.0","","5980.0","","","5758.0","","5708.0","","","5420.0","","5452.0",""
"事業所数（民営）_旧田辺市","事業所","","4781.0","","","","","4955.0","","","","","5063.0","","","5079.0","","5061.0","","","4878.0","","4849.0","","","4582.0","","…",""
"事業所数（民営）_旧龍神村","事業所","","307.0","","","","","322.0","","","","","322.0","","","306.0","","304.0","","","284.0","","290.0","","","269.0","","…",""
"事業所数（民営）_旧中辺路町","事業所","","233.0","","","","","201.0","","","","","198.0","","","195.0","","188.0","","","182.0","","175.0","","","195.0","","…",""
"事業所数（民営）_旧大塔村","事業所","","155.0","","","","","149.0","","","","","148.0","","","146.0","","148.0","","","137.0","","128.0","","","122.0","","…",""
