"項目","単位","1980_55","1981_56","1982_57","1983_58","1984_59","1985_60","1986_61","1987_62","1988_63","1989_1","1990_2","1991_3","1992_4","1993_5","1994_6","1995_7","1996_8","1997_9","1998_10","1999_11","2000_12","2001_13","2002_14","2003_15","2004_16","2005_17","2006_18","有効数字(少数桁)"
"産業大分類別従業者数（総数）_不動産業","人","","3.0","","","","","3.0","","","","","5.0","","","…","","27.0","","","…","","45.0","","","…","","…",""
"産業大分類別従業者数（総数）_サービス業","人","","1063.0","","","","","1226.0","","","","","1287.0","","","…","","1389.0","","","…","","1420.0","","","…","","…",""
"産業大分類別従業者数（総数）_公務（他に分類されないもの）","人","","218.0","","","","","217.0","","","","","208.0","","","…","","212.0","","","…","","233.0","","","…","","…",""
"産業大分類別従業者数（総数）_旧野上町","人","","2931.0","","","","","3009.0","","","","","3419.0","","","…","","3294.0","","","…","","3039.0","","","…","","…",""
"産業大分類別従業者数（総数）_農業・林業・漁業","人","","8.0","","","","","25.0","","","","","10.0","","","…","","28.0","","","…","","37.0","","","…","","…",""
"産業大分類別従業者数（総数）_鉱業","人","","-","","","","","-","","","","","-","","","…","","-","","","…","","-","","","…","","…",""
"産業大分類別従業者数（総数）_建設業","人","","230.0","","","","","252.0","","","","","245.0","","","…","","231.0","","","…","","192.0","","","…","","…",""
"産業大分類別従業者数（総数）_製造業","人","","991.0","","","","","1054.0","","","","","1222.0","","","…","","1113.0","","","…","","910.0","","","…","","…",""
"産業大分類別従業者数（総数）_電気・ガス・熱供給・水道業","人","","11.0","","","","","8.0","","","","","8.0","","","…","","10.0","","","…","","9.0","","","…","","…",""
"産業大分類別従業者数（総数）_運輸・通信業","人","","165.0","","","","","85.0","","","","","196.0","","","…","","180.0","","","…","","122.0","","","…","","…",""
"産業大分類別従業者数（総数）_卸売・小売業、飲食店","人","","602.0","","","","","585.0","","","","","658.0","","","…","","636.0","","","…","","621.0","","","…","","…",""
"産業大分類別従業者数（総数）_金融・保険業","人","","39.0","","","","","34.0","","","","","34.0","","","…","","43.0","","","…","","10.0","","","…","","…",""
"産業大分類別従業者数（総数）_不動産業","人","","3.0","","","","","3.0","","","","","5.0","","","…","","27.0","","","…","","45.0","","","…","","…",""
"産業大分類別従業者数（総数）_サービス業","人","","764.0","","","","","837.0","","","","","918.0","","","…","","899.0","","","…","","955.0","","","…","","…",""
"産業大分類別従業者数（総数）_公務（他に分類されないもの）","人","","118.0","","","","","126.0","","","","","123.0","","","…","","127.0","","","…","","138.0","","","…","","…",""
"産業大分類別従業者数（総数）_旧美里町","人","","1401.0","","","","","1526.0","","","","","1389.0","","","…","","1392.0","","","…","","1246.0","","","…","","…",""
"産業大分類別従業者数（総数）_農業・林業・漁業","人","","8.0","","","","","12.0","","","","","15.0","","","…","","20.0","","","…","","19.0","","","…","","…",""
"産業大分類別従業者数（総数）_鉱業","人","","-","","","","","-","","","","","-","","","…","","-","","","…","","-","","","…","","…",""
"産業大分類別従業者数（総数）_建設業","人","","304.0","","","","","341.0","","","","","297.0","","","…","","256.0","","","…","","227.0","","","…","","…",""
"産業大分類別従業者数（総数）_製造業","人","","329.0","","","","","330.0","","","","","295.0","","","…","","232.0","","","…","","166.0","","","…","","…",""
"産業大分類別従業者数（総数）_電気・ガス・熱供給・水道業","人","","7.0","","","","","12.0","","","","","5.0","","","…","","5.0","","","…","","6.0","","","…","","…",""
"産業大分類別従業者数（総数）_運輸・通信業","人","","79.0","","","","","78.0","","","","","50.0","","","…","","47.0","","","…","","50.0","","","…","","…",""
"産業大分類別従業者数（総数）_卸売・小売業、飲食店","人","","261.0","","","","","258.0","","","","","258.0","","","…","","242.0","","","…","","214.0","","","…","","…",""
"産業大分類別従業者数（総数）_金融・保険業","人","","14.0","","","","","15.0","","","","","15.0","","","…","","15.0","","","…","","4.0","","","…","","…",""
"産業大分類別従業者数（総数）_不動産業","人","","-","","","","","-","","","","","-","","","…","","-","","","…","","-","","","…","","…",""
"産業大分類別従業者数（総数）_サービス業","人","","299.0","","","","","389.0","","","","","369.0","","","…","","490.0","","","…","","465.0","","","…","","…",""
"産業大分類別従業者数（総数）_公務（他に分類されないもの）","人","","100.0","","","","","91.0","","","","","85.0","","","…","","85.0","","","…","","95.0","","","…","","…",""
"産業大分類別従業者数（総数）_かつらぎ町","人","","6938.0","","","","","6595.0","","","","","7572.0","","","…","","7388.0","","","…","","6951.0","","","…","","…",""
"産業大分類別従業者数（総数）_農業・林業・漁業","人","","8.0","","","","","9.0","","","","","27.0","","","…","","50.0","","","…","","40.0","","","…","","…",""
"産業大分類別従業者数（総数）_鉱業","人","","46.0","","","","","6.0","","","","","9.0","","","…","","8.0","","","…","","8.0","","","…","","…",""
"産業大分類別従業者数（総数）_建設業","人","","772.0","","","","","732.0","","","","","842.0","","","…","","846.0","","","…","","889.0","","","…","","…",""
"産業大分類別従業者数（総数）_製造業","人","","2174.0","","","","","1951.0","","","","","2188.0","","","…","","1878.0","","","…","","1474.0","","","…","","…",""
"産業大分類別従業者数（総数）_電気・ガス・熱供給・水道業","人","","21.0","","","","","12.0","","","","","10.0","","","…","","15.0","","","…","","11.0","","","…","","…",""
"産業大分類別従業者数（総数）_運輸・通信業","人","","263.0","","","","","284.0","","","","","316.0","","","…","","359.0","","","…","","348.0","","","…","","…",""
"産業大分類別従業者数（総数）_卸売・小売業、飲食店","人","","1640.0","","","","","1546.0","","","","","1856.0","","","…","","1792.0","","","…","","1771.0","","","…","","…",""
"産業大分類別従業者数（総数）_金融・保険業","人","","95.0","","","","","119.0","","","","","119.0","","","…","","81.0","","","…","","45.0","","","…","","…",""
"産業大分類別従業者数（総数）_不動産業","人","","32.0","","","","","26.0","","","","","36.0","","","…","","32.0","","","…","","22.0","","","…","","…",""
"産業大分類別従業者数（総数）_サービス業","人","","1583.0","","","","","1583.0","","","","","1828.0","","","…","","1931.0","","","…","","1921.0","","","…","","…",""
"産業大分類別従業者数（総数）_公務（他に分類されないもの）","人","","304.0","","","","","327.0","","","","","341.0","","","…","","396.0","","","…","","422.0","","","…","","…",""
"産業大分類別従業者数（総数）_旧かつらぎ町","人","","6680.0","","","","","6351.0","","","","","7292.0","","","…","","7102.0","","","…","","6670.0","","","…","","…",""
"産業大分類別従業者数（総数）_農業・林業・漁業","人","","8.0","","","","","9.0","","","","","19.0","","","…","","38.0","","","…","","27.0","","","…","","…",""
"産業大分類別従業者数（総数）_鉱業","人","","41.0","","","","","6.0","","","","","9.0","","","…","","8.0","","","…","","8.0","","","…","","…",""
"産業大分類別従業者数（総数）_建設業","人","","700.0","","","","","668.0","","","","","770.0","","","…","","789.0","","","…","","831.0","","","…","","…",""
"産業大分類別従業者数（総数）_製造業","人","","2107.0","","","","","1888.0","","","","","2121.0","","","…","","1834.0","","","…","","1442.0","","","…","","…",""
"産業大分類別従業者数（総数）_電気・ガス・熱供給・水道業","人","","21.0","","","","","12.0","","","","","10.0","","","…","","15.0","","","…","","11.0","","","…","","…",""
"産業大分類別従業者数（総数）_運輸・通信業","人","","260.0","","","","","282.0","","","","","313.0","","","…","","357.0","","","…","","346.0","","","…","","…",""
"産業大分類別従業者数（総数）_卸売・小売業、飲食店","人","","1601.0","","","","","1512.0","","","","","1818.0","","","…","","1741.0","","","…","","1722.0","","","…","","…",""
"産業大分類別従業者数（総数）_金融・保険業","人","","95.0","","","","","119.0","","","","","119.0","","","…","","81.0","","","…","","45.0","","","…","","…",""
"産業大分類別従業者数（総数）_不動産業","人","","32.0","","","","","26.0","","","","","36.0","","","…","","32.0","","","…","","22.0","","","…","","…",""
"産業大分類別従業者数（総数）_サービス業","人","","1533.0","","","","","1529.0","","","","","1766.0","","","…","","1843.0","","","…","","1837.0","","","…","","…",""
"産業大分類別従業者数（総数）_公務（他に分類されないもの）","人","","282.0","","","","","300.0","","","","","311.0","","","…","","364.0","","","…","","379.0","","","…","","…",""
"産業大分類別従業者数（総数）_旧花園村","人","","258.0","","","","","244.0","","","","","280.0","","","…","","286.0","","","…","","281.0","","","…","","…",""
"産業大分類別従業者数（総数）_農業・林業・漁業","人","","-","","","","","-","","","","","8.0","","","…","","12.0","","","…","","13.0","","","…","","…",""
"産業大分類別従業者数（総数）_鉱業","人","","5.0","","","","","-","","","","","-","","","…","","-","","","…","","-","","","…","","…",""
"産業大分類別従業者数（総数）_建設業","人","","72.0","","","","","64.0","","","","","72.0","","","…","","57.0","","","…","","58.0","","","…","","…",""
"産業大分類別従業者数（総数）_製造業","人","","67.0","","","","","63.0","","","","","67.0","","","…","","44.0","","","…","","32.0","","","…","","…",""
"産業大分類別従業者数（総数）_電気・ガス・熱供給・水道業","人","","-","","","","","-","","","","","-","","","…","","-","","","…","","-","","","…","","…",""
"産業大分類別従業者数（総数）_運輸・通信業","人","","3.0","","","","","2.0","","","","","3.0","","","…","","2.0","","","…","","2.0","","","…","","…",""
"産業大分類別従業者数（総数）_卸売・小売業、飲食店","人","","39.0","","","","","34.0","","","","","38.0","","","…","","51.0","","","…","","49.0","","","…","","…",""
"産業大分類別従業者数（総数）_金融・保険業","人","","-","","","","","-","","","","","-","","","…","","-","","","…","","-","","","…","","…",""
"産業大分類別従業者数（総数）_不動産業","人","","-","","","","","-","","","","","-","","","…","","-","","","…","","-","","","…","","…",""
"産業大分類別従業者数（総数）_サービス業","人","","50.0","","","","","54.0","","","","","62.0","","","…","","88.0","","","…","","84.0","","","…","","…",""
"産業大分類別従業者数（総数）_公務（他に分類されないもの）","人","","22.0","","","","","27.0","","","","","30.0","","","…","","32.0","","","…","","43.0","","","…","","…",""
"産業大分類別従業者数（総数）_九度山町","人","","1436.0","","","","","1389.0","","","","","1354.0","","","…","","1480.0","","","…","","1649.0","","","…","","…",""
"産業大分類別従業者数（総数）_農業・林業・漁業","人","","45.0","","","","","37.0","","","","","25.0","","","…","","17.0","","","…","","25.0","","","…","","…",""
"産業大分類別従業者数（総数）_鉱業","人","","-","","","","","-","","","","","-","","","…","","-","","","…","","-","","","…","","…",""
"産業大分類別従業者数（総数）_建設業","人","","239.0","","","","","232.0","","","","","201.0","","","…","","252.0","","","…","","274.0","","","…","","…",""
"産業大分類別従業者数（総数）_製造業","人","","322.0","","","","","326.0","","","","","345.0","","","…","","275.0","","","…","","250.0","","","…","","…",""
"産業大分類別従業者数（総数）_電気・ガス・熱供給・水道業","人","","3.0","","","","","-","","","","","-","","","…","","4.0","","","…","","4.0","","","…","","…",""
"産業大分類別従業者数（総数）_運輸・通信業","人","","94.0","","","","","63.0","","","","","63.0","","","…","","50.0","","","…","","69.0","","","…","","…",""
"産業大分類別従業者数（総数）_卸売・小売業、飲食店","人","","387.0","","","","","377.0","","","","","311.0","","","…","","341.0","","","…","","393.0","","","…","","…",""
"産業大分類別従業者数（総数）_金融・保険業","人","","26.0","","","","","26.0","","","","","28.0","","","…","","23.0","","","…","","28.0","","","…","","…",""
"産業大分類別従業者数（総数）_不動産業","人","","2.0","","","","","9.0","","","","","27.0","","","…","","19.0","","","…","","15.0","","","…","","…",""
"産業大分類別従業者数（総数）_サービス業","人","","248.0","","","","","247.0","","","","","270.0","","","…","","386.0","","","…","","473.0","","","…","","…",""
"産業大分類別従業者数（総数）_公務（他に分類されないもの）","人","","70.0","","","","","72.0","","","","","84.0","","","…","","113.0","","","…","","118.0","","","…","","…",""
"産業大分類別従業者数（総数）_高野町","人","","3157.0","","","","","3087.0","","","","","2951.0","","","…","","3068.0","","","…","","2689.0","","","…","","…",""
"産業大分類別従業者数（総数）_農業・林業・漁業","人","","31.0","","","","","119.0","","","","","16.0","","","…","","16.0","","","…","","6.0","","","…","","…",""
"産業大分類別従業者数（総数）_鉱業","人","","-","","","","","-","","","","","-","","","…","","-","","","…","","-","","","…","","…",""
"産業大分類別従業者数（総数）_建設業","人","","287.0","","","","","199.0","","","","","237.0","","","…","","234.0","","","…","","188.0","","","…","","…",""
"産業大分類別従業者数（総数）_製造業","人","","315.0","","","","","282.0","","","","","281.0","","","…","","244.0","","","…","","178.0","","","…","","…",""
"産業大分類別従業者数（総数）_電気・ガス・熱供給・水道業","人","","19.0","","","","","15.0","","","","","14.0","","","…","","13.0","","","…","","12.0","","","…","","…",""
"産業大分類別従業者数（総数）_運輸・通信業","人","","167.0","","","","","161.0","","","","","144.0","","","…","","167.0","","","…","","139.0","","","…","","…",""
"産業大分類別従業者数（総数）_卸売・小売業、飲食店","人","","892.0","","","","","818.0","","","","","892.0","","","…","","833.0","","","…","","715.0","","","…","","…",""
"産業大分類別従業者数（総数）_金融・保険業","人","","55.0","","","","","50.0","","","","","61.0","","","…","","56.0","","","…","","35.0","","","…","","…",""
"産業大分類別従業者数（総数）_不動産業","人","","6.0","","","","","1.0","","","","","11.0","","","…","","12.0","","","…","","11.0","","","…","","…",""
"産業大分類別従業者数（総数）_サービス業","人","","1289.0","","","","","1346.0","","","","","1207.0","","","…","","1397.0","","","…","","1300.0","","","…","","…",""
"産業大分類別従業者数（総数）_公務（他に分類されないもの）","人","","96.0","","","","","96.0","","","","","88.0","","","…","","96.0","","","…","","105.0","","","…","","…",""
"産業大分類別従業者数（総数）_湯浅町","人","","6427.0","","","","","6400.0","","","","","6416.0","","","…","","6450.0","","","…","","6222.0","","","…","","…",""
"産業大分類別従業者数（総数）_農業・林業・漁業","人","","42.0","","","","","7.0","","","","","7.0","","","…","","21.0","","","…","","94.0","","","…","","…",""
"産業大分類別従業者数（総数）_鉱業","人","","-","","","","","-","","","","","-","","","…","","-","","","…","","-","","","…","","…",""
"産業大分類別従業者数（総数）_建設業","人","","694.0","","","","","878.0","","","","","710.0","","","…","","652.0","","","…","","593.0","","","…","","…",""
"産業大分類別従業者数（総数）_製造業","人","","681.0","","","","","613.0","","","","","656.0","","","…","","714.0","","","…","","705.0","","","…","","…",""
"産業大分類別従業者数（総数）_電気・ガス・熱供給・水道業","人","","24.0","","","","","18.0","","","","","17.0","","","…","","20.0","","","…","","21.0","","","…","","…",""
"産業大分類別従業者数（総数）_運輸・通信業","人","","454.0","","","","","379.0","","","","","361.0","","","…","","283.0","","","…","","356.0","","","…","","…",""
"産業大分類別従業者数（総数）_卸売・小売業、飲食店","人","","2334.0","","","","","2237.0","","","","","2361.0","","","…","","2413.0","","","…","","2142.0","","","…","","…",""
"産業大分類別従業者数（総数）_金融・保険業","人","","315.0","","","","","332.0","","","","","320.0","","","…","","254.0","","","…","","221.0","","","…","","…",""
"産業大分類別従業者数（総数）_不動産業","人","","60.0","","","","","45.0","","","","","51.0","","","…","","52.0","","","…","","70.0","","","…","","…",""
"産業大分類別従業者数（総数）_サービス業","人","","1416.0","","","","","1473.0","","","","","1558.0","","","…","","1669.0","","","…","","1629.0","","","…","","…",""
"産業大分類別従業者数（総数）_公務（他に分類されないもの）","人","","407.0","","","","","418.0","","","","","375.0","","","…","","372.0","","","…","","391.0","","","…","","…",""
"産業大分類別従業者数（総数）_広川町","人","","2446.0","","","","","2436.0","","","","","2669.0","","","…","","2833.0","","","…","","2556.0","","","…","","…",""
"産業大分類別従業者数（総数）_農業・林業・漁業","人","","36.0","","","","","58.0","","","","","114.0","","","…","","69.0","","","…","","91.0","","","…","","…",""
"産業大分類別従業者数（総数）_鉱業","人","","-","","","","","-","","","","","-","","","…","","-","","","…","","-","","","…","","…",""
"産業大分類別従業者数（総数）_建設業","人","","480.0","","","","","390.0","","","","","445.0","","","…","","494.0","","","…","","408.0","","","…","","…",""
"産業大分類別従業者数（総数）_製造業","人","","814.0","","","","","889.0","","","","","822.0","","","…","","839.0","","","…","","607.0","","","…","","…",""
"産業大分類別従業者数（総数）_電気・ガス・熱供給・水道業","人","","8.0","","","","","5.0","","","","","6.0","","","…","","5.0","","","…","","5.0","","","…","","…",""
"産業大分類別従業者数（総数）_運輸・通信業","人","","91.0","","","","","82.0","","","","","75.0","","","…","","79.0","","","…","","95.0","","","…","","…",""
"産業大分類別従業者数（総数）_卸売・小売業、飲食店","人","","527.0","","","","","516.0","","","","","547.0","","","…","","552.0","","","…","","473.0","","","…","","…",""
"産業大分類別従業者数（総数）_金融・保険業","人","","1.0","","","","","-","","","","","-","","","…","","8.0","","","…","","9.0","","","…","","…",""
"産業大分類別従業者数（総数）_不動産業","人","","18.0","","","","","14.0","","","","","19.0","","","…","","20.0","","","…","","19.0","","","…","","…",""
"産業大分類別従業者数（総数）_サービス業","人","","384.0","","","","","408.0","","","","","535.0","","","…","","677.0","","","…","","770.0","","","…","","…",""
"産業大分類別従業者数（総数）_公務（他に分類されないもの）","人","","87.0","","","","","74.0","","","","","106.0","","","…","","90.0","","","…","","79.0","","","…","","…",""
"産業大分類別従業者数（総数）_有田川町","人","","8176.0","","","","","8682.0","","","","","9874.0","","","…","","10182.0","","","…","","10806.0","","","…","","…",""
"産業大分類別従業者数（総数）_農業・林業・漁業","人","","133.0","","","","","81.0","","","","","65.0","","","…","","51.0","","","…","","139.0","","","…","","…",""
"産業大分類別従業者数（総数）_鉱業","人","","9.0","","","","","8.0","","","","","1.0","","","…","","1.0","","","…","","-","","","…","","…",""
"産業大分類別従業者数（総数）_建設業","人","","1333.0","","","","","1257.0","","","","","1397.0","","","…","","1554.0","","","…","","1515.0","","","…","","…",""
"産業大分類別従業者数（総数）_製造業","人","","1364.0","","","","","1686.0","","","","","1990.0","","","…","","1897.0","","","…","","1759.0","","","…","","…",""
"産業大分類別従業者数（総数）_電気・ガス・熱供給・水道業","人","","42.0","","","","","39.0","","","","","40.0","","","…","","39.0","","","…","","47.0","","","…","","…",""
"産業大分類別従業者数（総数）_運輸・通信業","人","","504.0","","","","","537.0","","","","","606.0","","","…","","551.0","","","…","","545.0","","","…","","…",""
"産業大分類別従業者数（総数）_卸売・小売業、飲食店","人","","2293.0","","","","","2289.0","","","","","2610.0","","","…","","2782.0","","","…","","3002.0","","","…","","…",""
"産業大分類別従業者数（総数）_金融・保険業","人","","179.0","","","","","147.0","","","","","118.0","","","…","","112.0","","","…","","105.0","","","…","","…",""
"産業大分類別従業者数（総数）_不動産業","人","","51.0","","","","","66.0","","","","","83.0","","","…","","60.0","","","…","","96.0","","","…","","…",""
"産業大分類別従業者数（総数）_サービス業","人","","1935.0","","","","","2240.0","","","","","2604.0","","","…","","2697.0","","","…","","3203.0","","","…","","…",""
"産業大分類別従業者数（総数）_公務（他に分類されないもの）","人","","333.0","","","","","332.0","","","","","360.0","","","…","","438.0","","","…","","395.0","","","…","","…",""
"産業大分類別従業者数（総数）_旧吉備町","人","","4039.0","","","","","4669.0","","","","","5674.0","","","…","","6352.0","","","…","","7262.0","","","…","","…",""
"産業大分類別従業者数（総数）_農業・林業・漁業","人","","35.0","","","","","33.0","","","","","22.0","","","…","","-","","","…","","126.0","","","…","","…",""
"産業大分類別従業者数（総数）_鉱業","人","","-","","","","","1.0","","","","","-","","","…","","-","","","…","","-","","","…","","…",""
"産業大分類別従業者数（総数）_建設業","人","","517.0","","","","","574.0","","","","","741.0","","","…","","865.0","","","…","","826.0","","","…","","…",""
"産業大分類別従業者数（総数）_製造業","人","","683.0","","","","","876.0","","","","","1134.0","","","…","","1311.0","","","…","","1332.0","","","…","","…",""
"産業大分類別従業者数（総数）_電気・ガス・熱供給・水道業","人","","7.0","","","","","7.0","","","","","9.0","","","…","","9.0","","","…","","15.0","","","…","","…",""
"産業大分類別従業者数（総数）_運輸・通信業","人","","243.0","","","","","298.0","","","","","444.0","","","…","","403.0","","","…","","405.0","","","…","","…",""
"産業大分類別従業者数（総数）_卸売・小売業、飲食店","人","","1349.0","","","","","1420.0","","","","","1652.0","","","…","","1876.0","","","…","","2256.0","","","…","","…",""
"産業大分類別従業者数（総数）_金融・保険業","人","","89.0","","","","","67.0","","","","","52.0","","","…","","54.0","","","…","","69.0","","","…","","…",""
"産業大分類別従業者数（総数）_不動産業","人","","27.0","","","","","36.0","","","","","56.0","","","…","","50.0","","","…","","62.0","","","…","","…",""
"産業大分類別従業者数（総数）_サービス業","人","","957.0","","","","","1231.0","","","","","1436.0","","","…","","1608.0","","","…","","2022.0","","","…","","…",""
"産業大分類別従業者数（総数）_公務（他に分類されないもの）","人","","132.0","","","","","126.0","","","","","128.0","","","…","","176.0","","","…","","149.0","","","…","","…",""
"産業大分類別従業者数（総数）_旧金屋町","人","","2148.0","","","","","2199.0","","","","","2346.0","","","…","","2014.0","","","…","","1838.0","","","…","","…",""
"産業大分類別従業者数（総数）_農業・林業・漁業","人","","30.0","","","","","18.0","","","","","12.0","","","…","","16.0","","","…","","9.0","","","…","","…",""
"産業大分類別従業者数（総数）_鉱業","人","","1.0","","","","","-","","","","","-","","","…","","-","","","…","","-","","","…","","…",""
"産業大分類別従業者数（総数）_建設業","人","","381.0","","","","","361.0","","","","","337.0","","","…","","359.0","","","…","","355.0","","","…","","…",""
"産業大分類別従業者数（総数）_製造業","人","","308.0","","","","","418.0","","","","","395.0","","","…","","189.0","","","…","","148.0","","","…","","…",""
"産業大分類別従業者数（総数）_電気・ガス・熱供給・水道業","人","","28.0","","","","","25.0","","","","","25.0","","","…","","24.0","","","…","","29.0","","","…","","…",""
"産業大分類別従業者数（総数）_運輸・通信業","人","","164.0","","","","","148.0","","","","","87.0","","","…","","84.0","","","…","","74.0","","","…","","…",""
"産業大分類別従業者数（総数）_卸売・小売業、飲食店","人","","543.0","","","","","520.0","","","","","574.0","","","…","","523.0","","","…","","472.0","","","…","","…",""
"産業大分類別従業者数（総数）_金融・保険業","人","","53.0","","","","","44.0","","","","","34.0","","","…","","33.0","","","…","","18.0","","","…","","…",""
"産業大分類別従業者数（総数）_不動産業","人","","14.0","","","","","26.0","","","","","27.0","","","…","","10.0","","","…","","34.0","","","…","","…",""
"産業大分類別従業者数（総数）_サービス業","人","","532.0","","","","","544.0","","","","","752.0","","","…","","657.0","","","…","","587.0","","","…","","…",""
"産業大分類別従業者数（総数）_公務（他に分類されないもの）","人","","94.0","","","","","95.0","","","","","103.0","","","…","","119.0","","","…","","112.0","","","…","","…",""
"産業大分類別従業者数（総数）_旧清水町","人","","1989.0","","","","","1814.0","","","","","1854.0","","","…","","1816.0","","","…","","1706.0","","","…","","…",""
"産業大分類別従業者数（総数）_農業・林業・漁業","人","","68.0","","","","","30.0","","","","","31.0","","","…","","35.0","","","…","","4.0","","","…","","…",""
"産業大分類別従業者数（総数）_鉱業","人","","8.0","","","","","7.0","","","","","1.0","","","…","","1.0","","","…","","-","","","…","","…",""
"産業大分類別従業者数（総数）_建設業","人","","435.0","","","","","322.0","","","","","319.0","","","…","","330.0","","","…","","334.0","","","…","","…",""
"産業大分類別従業者数（総数）_製造業","人","","373.0","","","","","392.0","","","","","461.0","","","…","","397.0","","","…","","279.0","","","…","","…",""
"産業大分類別従業者数（総数）_電気・ガス・熱供給・水道業","人","","7.0","","","","","7.0","","","","","6.0","","","…","","6.0","","","…","","3.0","","","…","","…",""
"産業大分類別従業者数（総数）_運輸・通信業","人","","97.0","","","","","91.0","","","","","75.0","","","…","","64.0","","","…","","66.0","","","…","","…",""
"産業大分類別従業者数（総数）_卸売・小売業、飲食店","人","","401.0","","","","","349.0","","","","","384.0","","","…","","383.0","","","…","","274.0","","","…","","…",""
"産業大分類別従業者数（総数）_金融・保険業","人","","37.0","","","","","36.0","","","","","32.0","","","…","","25.0","","","…","","18.0","","","…","","…",""
"産業大分類別従業者数（総数）_不動産業","人","","10.0","","","","","4.0","","","","","-","","","…","","-","","","…","","-","","","…","","…",""
"産業大分類別従業者数（総数）_サービス業","人","","446.0","","","","","465.0","","","","","416.0","","","…","","432.0","","","…","","594.0","","","…","","…",""
"産業大分類別従業者数（総数）_公務（他に分類されないもの）","人","","107.0","","","","","111.0","","","","","129.0","","","…","","143.0","","","…","","134.0","","","…","","…",""
"産業大分類別従業者数（総数）_美浜町","人","","2359.0","","","","","2428.0","","","","","2358.0","","","…","","2503.0","","","…","","2442.0","","","…","","…",""
"産業大分類別従業者数（総数）_農業・林業・漁業","人","","22.0","","","","","-","","","","","-","","","…","","-","","","…","","-","","","…","","…",""
"産業大分類別従業者数（総数）_鉱業","人","","2.0","","","","","2.0","","","","","2.0","","","…","","3.0","","","…","","1.0","","","…","","…",""
"産業大分類別従業者数（総数）_建設業","人","","184.0","","","","","258.0","","","","","320.0","","","…","","279.0","","","…","","279.0","","","…","","…",""
"産業大分類別従業者数（総数）_製造業","人","","805.0","","","","","661.0","","","","","641.0","","","…","","492.0","","","…","","372.0","","","…","","…",""
"産業大分類別従業者数（総数）_電気・ガス・熱供給・水道業","人","","7.0","","","","","5.0","","","","","6.0","","","…","","8.0","","","…","","8.0","","","…","","…",""
"産業大分類別従業者数（総数）_運輸・通信業","人","","85.0","","","","","82.0","","","","","86.0","","","…","","89.0","","","…","","83.0","","","…","","…",""
"産業大分類別従業者数（総数）_卸売・小売業、飲食店","人","","464.0","","","","","520.0","","","","","387.0","","","…","","475.0","","","…","","481.0","","","…","","…",""
"産業大分類別従業者数（総数）_金融・保険業","人","","4.0","","","","","10.0","","","","","14.0","","","…","","16.0","","","…","","22.0","","","…","","…",""
"産業大分類別従業者数（総数）_不動産業","人","","3.0","","","","","26.0","","","","","25.0","","","…","","38.0","","","…","","35.0","","","…","","…",""
"産業大分類別従業者数（総数）_サービス業","人","","643.0","","","","","734.0","","","","","737.0","","","…","","939.0","","","…","","997.0","","","…","","…",""
"産業大分類別従業者数（総数）_公務（他に分類されないもの）","人","","140.0","","","","","130.0","","","","","140.0","","","…","","164.0","","","…","","164.0","","","…","","…",""
"産業大分類別従業者数（総数）_日高町","人","","1584.0","","","","","1600.0","","","","","1689.0","","","…","","1971.0","","","…","","1922.0","","","…","","…",""
"産業大分類別従業者数（総数）_農業・林業・漁業","人","","130.0","","","","","146.0","","","","","168.0","","","…","","172.0","","","…","","164.0","","","…","","…",""
"産業大分類別従業者数（総数）_鉱業","人","","-","","","","","","","","","","-","","","…","","-","","","…","","-","","","…","","…",""
"産業大分類別従業者数（総数）_建設業","人","","235.0","","","","","199.0","","","","","183.0","","","…","","297.0","","","…","","270.0","","","…","","…",""
"産業大分類別従業者数（総数）_製造業","人","","257.0","","","","","254.0","","","","","277.0","","","…","","301.0","","","…","","221.0","","","…","","…",""
"産業大分類別従業者数（総数）_電気・ガス・熱供給・水道業","人","","-","","","","","-","","","","","-","","","…","","7.0","","","…","","10.0","","","…","","…",""
"産業大分類別従業者数（総数）_運輸・通信業","人","","52.0","","","","","49.0","","","","","48.0","","","…","","107.0","","","…","","103.0","","","…","","…",""
"産業大分類別従業者数（総数）_卸売・小売業、飲食店","人","","415.0","","","","","379.0","","","","","412.0","","","…","","389.0","","","…","","466.0","","","…","","…",""
"産業大分類別従業者数（総数）_金融・保険業","人","","-","","","","","2.0","","","","","1.0","","","…","","3.0","","","…","","3.0","","","…","","…",""
"産業大分類別従業者数（総数）_不動産業","人","","6.0","","","","","6.0","","","","","10.0","","","…","","6.0","","","…","","9.0","","","…","","…",""
"産業大分類別従業者数（総数）_サービス業","人","","413.0","","","","","468.0","","","","","487.0","","","…","","530.0","","","…","","568.0","","","…","","…",""
"産業大分類別従業者数（総数）_公務（他に分類されないもの）","人","","76.0","","","","","97.0","","","","","103.0","","","…","","159.0","","","…","","108.0","","","…","","…",""
"産業大分類別従業者数（総数）_由良町","人","","3261.0","","","","","3145.0","","","","","3214.0","","","…","","2897.0","","","…","","2474.0","","","…","","…",""
"産業大分類別従業者数（総数）_農業・林業・漁業","人","","32.0","","","","","15.0","","","","","-","","","…","","-","","","…","","6.0","","","…","","…",""
"産業大分類別従業者数（総数）_鉱業","人","","-","","","","","-","","","","","-","","","…","","14.0","","","…","","-","","","…","","…",""
"産業大分類別従業者数（総数）_建設業","人","","390.0","","","","","376.0","","","","","637.0","","","…","","433.0","","","…","","390.0","","","…","","…",""
